
xv6 kernel is booting

hart 2 starting
shart 1 starting
chedulertest 200
init: starting sh
$ schedulertest: start at tick 3, running for 200 ticks
3 4 0
3 5 0
3 6 0
3 7 0
5 4 1
6 5 1
7 4 1
8 7 0
8 5 1
8 6 1
9 4 2
10 5 1
11 4 2
12 6 1
12 5 1
12 7 1
13 4 2
14 5 2
15 4 2
16 6 1
16 7 1
16 5 2
17 4 3
18 5 2
19 4 3
20 6 1
20 5 2
20 7 1
21 4 3
22 5 2
23 4 3
24 6 1
24 5 2
24 7 1
25 4 3
26 5 3
27 4 3
28 6 1
28 7 1
28 5 3
29 4 3
31 5 3
31 4 3
32 6 1
32 7 1
33 4 3
33 5 3
35 4 3
35 5 3
36 7 1
36 6 1
37 4 3
37 5 3
39 4 3
39 5 3
40 6 1
40 7 1
41 5 3
41 4 3
43 5 3
43 4 3
44 6 1
44 7 1
45 5 3
45 4 3
47 5 3
47 4 3
48 6 0
48 7 0
49 4 1
49 5 1
51 4 1
51 5 1
52 7 0
52 6 1
53 4 2
53 5 2
55 4 2
55 5 2
56 6 1
56 7 1
57 5 2
57 4 2
59 5 2
59 4 2
60 6 1
60 7 1
61 4 3
61 5 2
63 4 3
63 5 3
64 6 1
64 7 1
65 5 3
65 4 3
67 5 3
67 4 3
68 6 1
68 7 1
69 4 3
69 5 3
71 4 3
71 5 3
72 6 1
72 7 1
73 4 3
73 5 3
75 4 3
75 5 3
76 6 1
76 7 1
77 4 3
77 5 3
79 4 3
79 5 3
80 6 1
80 7 1
81 5 3
81 4 3
83 5 3
83 4 3
84 6 1
84 7 1
85 4 3
85 5 3
87 4 3
87 5 3
88 6 1
88 7 1
89 4 3
89 5 3
91 4 3
91 5 3
92 6 1
92 7 1
93 5 3
93 4 3
95 5 3
95 4 3
96 6 0
96 7 0
97 5 1
97 4 1
99 5 1
99 4 1
100 7 0
100 6 1
101 5 2
101 4 1
103 5 2
103 4 2
104 6 1
104 7 1
105 4 2
105 5 2
107 4 2
107 5 2
108 6 1
108 7 1
109 5 3
109 4 2
111 5 3
111 4 3
112 6 1
112 7 1
113 5 3
113 4 3
115 5 3
115 4 3
116 6 1
116 7 1
117 4 3
117 5 3
119 4 3
119 5 3
120 6 1
120 7 1
121 5 3
121 4 3
123 5 3
123 4 3
124 6 1
124 7 1
125 4 3
125 5 3
127 4 3
127 5 3
128 6 1
128 7 1
129 5 3
129 4 3
131 5 3
131 4 3
132 6 1
133 7 1
133 5 3133 4 3

135 5 3
135 4 3
136 6 1
137 7 1
137 4 3
137 5 3
139 4 3
139 5 3
140 6 1
141 7 1
141 5 3
141 4 3
143 5 3
143 4 3
144 6 1
145 7 0
145 5 1
145 4 1
147 4 1
147 5 1
149 6 1
149 4 2
149 5 2
149 7 1
151 4 2
151 5 2
153 6 1
153 7 1
153 4 2
153 5 2
155 4 2
156 5 2
157 6 1
157 4 2
157 7 1
158 5 2
159 4 2
160 5 2
161 6 1
161 4 2
161 7 1
162 5 3
163 4 3
164 5 3
165 6 1
165 7 1
165 4 3
166 5 3
168 4 3
168 5 3
169 6 1
169 7 1
170 4 3
170 5 3
172 4 3
172 5 3
173 7 1
173 6 1
174 4 3
174 5 3
176 4 3
176 5 3
177 6 1
177 7 1
178 5 3
178 4 3
180 5 3
180 4 3
181 6 1
181 7 1
182 5 3
182 4 3
184 5 3
184 4 3
185 6 1
185 7 1
186 5 3
186 4 3
188 5 3
188 4 3
189 6 1
189 7 1
190 4 3
190 5 3
192 4 1
192 5 0
193 6 0
193 7 0
194 5 1
194 4 1
196 5 1
196 4 2
197 7 0
197 6 1
198 5 2
198 4 2
200 5 2
200 4 2
201 6 1
201 7 1
202 4 2
202 5 2
schedulertest: done at tick 205
$ 
